Salary,Title,Dept,Gender,Ethnicity,Birth Year,StartDate,County,Age,Tenure,InterSn
56478.93,Police Officer 2,Police,M,White,1989,2014,Davidson,31,6,WhiteM
56346.93,Police Officer 2,Police,M,White,1988,2016,Davidson,32,4,WhiteM
51496.76,Fire Fighter 2,Fire,M,White,1991,2018,Robertson,29,2,WhiteM
56973.72,Emer Telecommunications Off 4,Emergency Communications,F,Hispanic/Latino,1981,2005,Williamson,39,15,Hispanic/LatinoF
56346.93,Police Officer 2,Police,M,White,1994,2016,Davidson,26,4,WhiteM
61594.4,Police Officer 2,Police,M,White,1987,2013,Davidson,33,7,WhiteM
41600.0,Information Sys Oper Analyst 1,Metro Action Commission,F,White,1989,2019,Davidson,31,1,WhiteF
52826.18,Police Officer 2,Police,M,White,1994,2018,Davidson,26,2,WhiteM
63121.84,Police Officer 2,Police,M,White,1978,2009,Rutherford,42,11,WhiteM
52826.18,Police Officer 2,Police,M,White,1985,2018,Davidson,35,2,WhiteM
56346.93,Police Officer 2,Police,M,White,1994,2016,Davidson,26,4,WhiteM
66909.15,Police Officer 2,Police,M,White,1986,2008,Wilson,34,12,WhiteM
54818.21,Police Officer 2,Police,M,White,1992,2015,Montgomery,28,5,WhiteM
68669.52,Fire Fighter 2,Fire,M,White,1973,2000,Davidson,47,20,WhiteM
68669.52,Police Officer 2,Police,M,White,1974,1998,Sumner,46,22,WhiteM
131283.07,Special Projects Mgr,Finance,M,Black,1954,2001,Davidson,66,19,BlackM
68669.52,Police Officer 2,Police,M,White,1974,2005,Robertson,46,15,WhiteM
66726.05,Fire Fighter 2,Fire,M,White,1976,2005,Rutherford,44,15,WhiteM
54752.2,Police Officer 2,Police,F,White,1990,2017,Davidson,30,3,WhiteF
68669.52,Police Officer 2,Police,M,White,1973,2003,Davidson,47,17,WhiteM
63388.41,Fire Fighter 2,Fire,M,White,1982,2012,Davidson,38,8,WhiteM
47299.59,Office Support Spec 2,Water Services,F,Black,1989,2012,Rutherford,31,8,BlackF
114680.14,Police Captain,Police,M,White,1969,1991,Wilson,51,29,WhiteM
36364.6,Police Operations Asst Sr,Police,F,Black,1981,2017,Davidson,39,3,BlackF
63388.41,Police Officer 2,Police,M,Black,1983,2013,Davidson,37,7,BlackM
68669.52,Police Officer 2,Police,M,White,1972,1996,Dickson,48,24,WhiteM
61461.12,Fire Fighter 2,Fire,M,White,1989,2010,Sumner,31,10,WhiteM
66909.15,Police Officer 2,Police,M,White,1985,2009,Cheatham,35,11,WhiteM
58139.66,Fire Fighter 2,Fire,M,Black,1977,2004,Davidson,43,16,BlackM
47299.59,Office Support Spec 2,General Sessions Court,F,White,1977,2000,Davidson,43,20,WhiteF
68669.52,Police Officer 2,Police,M,White,1973,1999,Rutherford,47,21,WhiteM
63388.41,Police Officer 2,Police,M,White,1988,2012,Davidson,32,8,WhiteM
37500.99,Police Operations Asst Sr,Police,F,White,1957,2013,Davidson,63,7,WhiteF
84533.04,Assistant Public Defender 2,Public Defender,M,White,1980,2012,Davidson,40,8,WhiteM
